Data; Var_VALE3;Var_Baoshan_Iron ;Inflation_China;Var_China;Var_USD/BRL
01/10/2024;-0.0252;-0.0605;0.004;-0.0224;0.0618
01/09/2024;0.066;0.1644;0.006;0.0608;-0.0289
01/08/2024;-0.0333;-0.1235;0.005;-0.0118;-0.007
01/07/2024;-0.0095;0.0226;0.002;-0.0659;0.0103
01/06/2024;-0.0155;-0.0362;0.003;-0.0542;0.0664
01/05/2024;-0.0014;-0.0072;0.003;-0.0074;0.0098
01/04/2024;0.0404;0.0467;0.001;0.1663;0.0355
01/03/2024;-0.092;-0.0045;0.007;-0.0855;0.0088
01/02/2024;-0.0114;0.0846;-0.008;-0.0885;0.0038
01/01/2024;-0.1223;0.0371;-0.003;0.0017;0.0207
01/12/2023;0.0454;-0.0466;-0.005;0.0566;-0.0139
01/11/2023;0.0703;-0.0064;-0.002;0.0686;-0.0227
01/10/2023;0.021;0.0279;0;0.0643;0.0006
01/09/2023;0.0384;0.005;0.001;-0.1135;0.0157
01/08/2023;-0.059;-0.0561;-0.003;0.0132;0.0488
01/07/2023;0.0769;0.1423;0;-0.003;-0.0129
01/06/2023;0.0064;-0.0442;0.002;0.1858;-0.0537
01/05/2023;-0.1186;-0.087;0.001;-0.0175;0.0142
01/04/2023;-0.0983;0.0321;0.007;-0.2134;-0.0151
01/03/2023;-0.0383;-0.0517;0.01;0.0248;-0.0332
01/02/2023;-0.0972;0.0647;0.021;0.016;0.0322
01/01/2023;0.0633;0.1055;0.018;0.0211;-0.0403
01/12/2022;0.0405;-0.0089;0.016;0.1415;0.0195
01/11/2022;0.2768;0.1726;0.021;0.2738;0.0012
01/10/2022;-0.0682;-0.0856;0.028;-0.1397;-0.0436
01/09/2022;0.1169;-0.0131;0.025;0.0443;0.0448
01/08/2022;-0.0273;-0.06;0.027;-0.0683;0.0019
01/07/2022;-0.0889;-0.0581;0.025;-0.0168;-0.0158
01/06/2022;-0.1119;-0.0594;0.021;-0.1046;0.1109
01/05/2022;0.0351;-0.0093;0.021;-0.0672;-0.0484
01/04/2022;-0.1288;-0.043;0.015;-0.064;0.0492
01/03/2022;0.0758;-0.0651;0.009;0.3076;-0.0816
01/02/2022;0.1411;0.0256;0.009;-0.1235;-0.0272
01/01/2022;0.0373;-0.0168;0.015;0.1832;-0.0478
01/12/2021;0.1145;0.0982;0.023;0.0977;-0.0095
01/11/2021;-0.0232;-0.0856;0.015;-0.064;-0.0024
01/10/2021;-0.0607;-0.1805;0.007;-0.0977;0.0357
01/09/2021;-0.1471;-0.1462;0.008;-0.1236;0.057
01/08/2021;-0.0927;0.2866;0.01;-0.2197;-0.0121
01/07/2021;-0.0396;0.0366;0.011;-0.0785;0.049
01/06/2021;0.0062;-0.0305;0.013;0.0583;-0.0477
01/05/2021;0.0528;-0.0869;0.009;-0.0167;-0.0404
01/04/2021;0.1128;0.0681;0.004;0.0156;-0.0346
01/03/2021;0.0832;0.0745;-0.002;-0.0442;0.0059
01/02/2021;0.0747;0.1463;-0.003;0.1594;0.0249
01/01/2021;0.0057;0.1025;0.002;-0.0829;0.0518
01/12/2020;0.1212;-0.0419;-0.005;0.2061;-0.0259
01/11/2020;0.2882;0.1629;0.005;0.133;-0.0718
01/10/2020;0.0244;0.0701;0.017;-0.0076;0.0238
01/09/2020;0.0319;0.0101;0.024;-0.1534;0.0218
01/08/2020;-0.017;0.0041;0.027;0.117;0.0512
01/07/2020;0.0857;0.0789;0.025;0.1257;-0.0443
01/06/2020;0.0551;-0.0675;0.024;0.0206;0.0244
01/05/2020;0.1815;0.0041;0.033;0.201;-0.0273
01/04/2020;0.0379;0;0.043;-0.0654;0.054
01/03/2020;-0.0246;-0.0635;0.052;0.0527;0.1635
01/02/2020;-0.1186;-0.0424;0.054;-0.0637;0.0447
01/01/2020;-0.0568;-0.054;0.045;0.0193;0.0654
01/12/2019;0.0947;0.0494;0.045;0.0838;-0.0513
01/11/2019;0.0589;-0.0569;0.038;0.0502;0.0545
01/10/2019;-0.0115;-0.0186;0.03;-0.0113;-0.0331
01/09/2019;0.0478;0.0172;0.028;0.0445;0.0026
01/08/2019;-0.0851;-0.0893;0.028;-0.1846;0.0871
01/07/2019;-0.0388;-0.0185;0.027;0.0266;-0.0102
01/06/2019;0.0576;0.0317;0.027;0.0453;-0.0178
01/05/2019;-0.022;-0.1213;0.025;-0.0095;0.0003
01/04/2019;-0.0163;-0.0083;0.023;0.1016;-0.0008
01/03/2019;0.0813;-0.036;0.015;0.0204;0.046
01/02/2019;0.0352;0.0699;0.017;0.032;0.0294
01/01/2019;-0.1078;0.0785;0.019;0.1107;-0.0609
01/12/2018;-0.0341;-0.0327;0.022;0.0836;0.0037
01/11/2018;-0.0689;-0.1216;0.025;-0.1251;0.0388
01/10/2018;-0.052;-0.0255;0.025;0.0474;-0.0805
01/09/2018;0.1156;-0.0038;0.023;0.0061;-0.0017
01/08/2018;0.0059;-0.0932;0.021;0.001;0.0796
01/07/2018;0.1059;0.1155;0.019;0.0368;-0.0312
01/06/2018;-0.0205;-0.0748;0.018;0.044;0.0414
01/05/2018;0.0403;-0.0887;0.018;-0.0183;0.0616
01/04/2018;0.153;0.0845;0.021;0.0176;0.0611
01/03/2018;-0.0524;-0.1514;0.029;-0.1844;0.0181
01/02/2018;0.0869;0.006;0.015;0.0538;0.0188
01/01/2018;0.0296;0.1551;0.018;-0.0056;-0.0381
01/12/2017;0.158;-0.0789;0.017;0.0523;0.0121
01/11/2017;0.0947;0.2229;0.019;0.1268;0.0001
01/10/2017;0.0072;0.0379;0.016;0.0263;0.0351
01/09/2017;-0.0915;-0.0988;0.018;-0.1813;0.0044
01/08/2017;0.1208;0.1022;0.014;0.0348;0.0069
01/07/2017;0.0793;0.1088;0.015;0.14;-0.0546
01/06/2017;0.0674;0.0584;0.015;0.1021;0.0248
01/05/2017;-0.0109;0.016;0.012;-0.1576;0.0159
01/04/2017;-0.0471;-0.0415;0.009;-0.0355;0.0169
01/03/2017;-0.0895;-0.0818;0.008;-0.1516;0.0046
01/02/2017;0.0168;0.0426;0.025;0.0594;-0.0134
01/01/2017;0.2531;0.0709;0.021;0.1071;-0.0315
01/12/2016;-0.0794;-0.0078;0.023;-0.045;-0.0383
01/11/2016;0.2708;0.1408;0.021;0.2381;0.0611
01/10/2016;0.2398;0.1449;0.019;0.1827;-0.0218
01/09/2016;0.0514;0;0.013;-0.2369;0.01
01/08/2016;-0.0843;0;0.018;-0.0063;-0.0063
01/07/2016;0.1371;0;0.019;0.0811;0.0107
01/06/2016;0.1442;-0.0737;0.02;0.023;-0.1102
01/05/2016;-0.2778;-0.0503;0.023;-0.1963;0.051
01/04/2016;0.2997;0.061;0.023;0.2287;-0.0438
01/03/2016;0.2828;0.0355;0.023;0.1627;-0.1054
01/02/2016;0.215;-0.0269;0.018;0.1962;0.0046
01/01/2016;-0.254;-0.0663;0.016;-0.1222;0.0096
01/12/2015;-0.0106;0.0182;0.015;0.0496;0.0237
01/11/2015;-0.228;-0.0335;0.013;-0.2213;0.0029
01/10/2015;0.0496;0.0143;0.016;-0.1521;-0.0232
01/09/2015;-0.0748;-0.021;0.02;0.1674;0.0909
01/08/2015;0.0028;-0.1591;0.016;0.0762;0.058
01/07/2015;-0.023;-0.2231;0.014;-0.1844;0.1026
01/06/2015;-0.0878;0.0517;0.012;0.0833;-0.0242
01/05/2015;-0.1148;-0.0736;0.015;0.023;0.0547
01/04/2015;0.2757;0.2598;0.014;-0.1667;-0.0566
01/03/2015;-0.1558;0.0659;0.014;0.0786;0.1257
01/02/2015;0.1419;0.1246;0.008;-0.0078;0.0584
01/01/2015;-0.1506;-0.1526;0.015;-0.0339;0.0092
01/12/2014;-0.0597;0.3909;0.014;-0.0432;0.0358
01/11/2014;-0.068;0.1326;0.016;-0.0125;0.0352
